Date,price_btc,price_spx,price_tech,ret_btc,ret_spx,ret_tech
,BTC-USD,^GSPC,QQQ,,,
2016-05-31,531.385986,2096.949951,103.063873,0.122337,-0.001005,0.001907
2016-06-01,536.919983,2099.330078,103.073242,0.010414,0.001135,0.000091
2016-06-02,537.971985,2105.260010,103.288055,0.001959,0.002825,0.002084
2016-06-03,569.193970,2099.129883,102.802322,0.058036,-0.002912,-0.004703
2016-06-06,585.536987,2109.409912,103.175949,0.028713,0.004897,0.003634
2016-06-07,576.596985,2112.129883,102.914429,-0.015268,0.001289,-0.002535
2016-06-08,581.645020,2119.120117,103.091911,0.008755,0.003310,0.001725
2016-06-09,574.630005,2115.479980,102.923775,-0.012061,-0.001718,-0.001631
2016-06-10,577.469971,2096.070068,101.756210,0.004942,-0.009175,-0.011344
2016-06-13,704.375977,2079.060059,100.906189,0.219762,-0.008115,-0.008354
2016-06-14,685.559021,2075.320068,100.906189,-0.026714,-0.001799,0.000000
2016-06-15,694.468994,2071.500000,100.616661,0.012997,-0.001841,-0.002869
2016-06-16,766.307983,2077.989990,100.915543,0.103444,0.003133,0.002970
2016-06-17,748.908997,2071.219971,99.732666,-0.022705,-0.003258,-0.011721
2016-06-20,737.226013,2083.250000,100.360161,-0.015600,0.005808,0.006292
2016-06-21,666.651978,2088.899902,100.678604,-0.095729,0.002712,0.003173
2016-06-22,596.116028,2085.449951,100.435097,-0.105806,-0.001652,-0.002419
2016-06-23,623.976990,2113.320068,101.868011,0.046737,0.013364,0.014267
2016-06-24,665.299011,2037.410034,97.672287,0.066224,-0.035920,-0.041188
2016-06-27,655.275024,2000.540039,95.733620,-0.015067,-0.018097,-0.019849
2016-06-28,647.000977,2036.089966,97.831490,-0.012627,0.017770,0.021914
2016-06-29,639.890015,2070.770020,99.564102,-0.010991,0.017033,0.017710
2016-06-30,673.336975,2098.860107,100.716042,0.052270,0.013565,0.011570
2016-07-01,676.296021,2102.949951,101.221817,0.004395,0.001949,0.005022
2016-07-05,670.627014,2088.550049,100.603661,-0.008382,-0.006847,-0.006107
2016-07-06,677.330994,2099.729980,101.427818,0.009997,0.005353,0.008192
2016-07-07,640.562012,2097.899902,101.727539,-0.054285,-0.000872,0.002955
2016-07-08,666.523010,2129.899902,103.300934,0.040528,0.015253,0.015467
2016-07-11,647.658997,2137.159912,103.890953,-0.028302,0.003409,0.005712
2016-07-12,664.551025,2152.139893,104.415390,0.026082,0.007009,0.005048
2016-07-13,654.468018,2152.429932,104.162552,-0.015173,0.000135,-0.002421
2016-07-14,658.078003,2163.750000,104.874329,0.005516,0.005259,0.006833
2016-07-15,663.255005,2161.739990,104.705750,0.007867,-0.000929,-0.001607
2016-07-18,673.106018,2166.889893,105.398773,0.014853,0.002382,0.006619
2016-07-19,672.864014,2163.780029,105.014793,-0.000360,-0.001435,-0.003643
2016-07-20,665.684998,2173.020020,106.241653,-0.010669,0.004270,0.011683
2016-07-21,665.012024,2165.169922,105.998177,-0.001011,-0.003613,-0.002292
2016-07-22,650.619019,2175.030029,106.438347,-0.021643,0.004554,0.004153
2016-07-25,654.096985,2168.479980,106.447716,0.005346,-0.003011,0.000088
2016-07-26,651.783997,2169.179932,106.569466,-0.003536,0.000323,0.001144
2016-07-27,654.351990,2166.580078,107.309349,0.003940,-0.001199,0.006943
2016-07-28,655.034973,2170.060059,107.683960,0.001044,0.001606,0.003491
2016-07-29,656.992004,2173.600098,107.918106,0.002988,0.001631,0.002174
2016-08-01,606.271973,2170.840088,108.489380,-0.077200,-0.001270,0.005294
2016-08-02,547.465027,2157.030029,107.665222,-0.096998,-0.006362,-0.007597
2016-08-03,566.354980,2163.790039,108.021103,0.034504,0.003134,0.003305
2016-08-04,578.289001,2164.250000,108.330170,0.021072,0.000213,0.002861
2016-08-05,575.043030,2182.870117,109.369743,-0.005613,0.008603,0.009596
2016-08-08,591.054016,2180.889893,109.247978,0.027843,-0.000907,-0.001113
2016-08-09,587.801025,2181.739990,109.500870,-0.005504,0.000390,0.002315
2016-08-10,592.103027,2175.489990,109.219872,0.007319,-0.002865,-0.002566
2016-08-11,589.119995,2185.790039,109.688156,-0.005038,0.004735,0.004288
2016-08-12,587.559021,2184.050049,109.763069,-0.002650,-0.000796,0.000683
2016-08-15,567.239990,2190.149902,110.231346,-0.034582,0.002793,0.004266
2016-08-16,577.439026,2178.149902,109.622581,0.017980,-0.005479,-0.005523
2016-08-17,573.216003,2182.219971,109.819283,-0.007313,0.001869,0.001794
2016-08-18,574.317993,2187.020020,109.847366,0.001922,0.002200,0.000256
2016-08-19,575.630005,2183.870117,109.819283,0.002284,-0.001440,-0.000256
2016-08-22,586.752991,2182.639893,109.903557,0.019323,-0.000563,0.000767
2016-08-23,583.414978,2186.899902,110.100235,-0.005689,0.001952,0.001790
2016-08-24,580.182007,2175.439941,109.388435,-0.005541,-0.005240,-0.006465
2016-08-25,577.760986,2172.469971,109.210533,-0.004173,-0.001365,-0.001626
2016-08-26,579.651001,2169.040039,109.369743,0.003271,-0.001579,0.001458
2016-08-29,574.106995,2180.379883,109.519585,-0.009564,0.005228,0.001370
2016-08-30,577.502991,2176.120117,109.163689,0.005915,-0.001954,-0.003250
2016-08-31,575.471985,2170.949951,109.051308,-0.003517,-0.002376,-0.001029
