Date,price_btc,price_spx,price_tech,price_gold,ret_btc,ret_spx,ret_tech,ret_gold
,BTC-USD,^GSPC,QQQ,GC=F,,,,
2016-04-20,441.389008,2102.399902,103.344093,1253.199951,0.013501,0.000762,0.000814,0.000160
2016-04-21,449.424988,2091.479980,103.353439,1249.000000,0.018206,-0.005194,0.000090,-0.003351
2016-04-22,445.737000,2091.580078,101.793549,1228.699951,-0.008206,0.000048,-0.015093,-0.016253
2016-04-25,461.425995,2087.790039,101.793549,1238.900024,0.035198,-0.001812,0.000000,0.008302
2016-04-26,466.088989,2091.699951,101.298523,1242.199951,0.010106,0.001873,-0.004863,0.002664
2016-04-27,444.687012,2095.149902,100.485870,1249.199951,-0.045918,0.001649,-0.008022,0.005635
2016-04-28,449.010986,2075.810059,99.271591,1265.500000,0.009724,-0.009231,-0.012084,0.013048
2016-04-29,455.096985,2065.300049,98.748505,1289.199951,0.013554,-0.005063,-0.005269,0.018728
2016-05-02,444.669006,2081.429932,99.682579,1294.699951,-0.022914,0.007810,0.009459,0.004266
2016-05-03,450.303986,2063.370117,98.757881,1290.699951,0.012672,-0.008677,-0.009276,-0.003090
2016-05-04,446.721985,2051.120117,98.122726,1273.300049,-0.007955,-0.005937,-0.006431,-0.013481
2016-05-05,447.976013,2050.629883,98.094681,1271.400024,0.002807,-0.000239,-0.000286,-0.001492
2016-05-06,459.602997,2057.139893,98.617775,1292.900024,0.025954,0.003175,0.005333,0.016910
2016-05-09,460.483002,2058.689941,98.897987,1265.599976,0.001915,0.000753,0.002841,-0.021115
2016-05-10,450.894989,2084.389893,100.252365,1263.900024,-0.020822,0.012484,0.013695,-0.001343
2016-05-11,452.727997,2064.459961,99.346313,1274.599976,0.004065,-0.009562,-0.009038,0.008466
2016-05-12,454.765991,2064.110107,98.907326,1270.300049,0.004502,-0.000169,-0.004419,-0.003374
2016-05-13,455.670013,2046.609985,98.543030,1271.900024,0.001988,-0.008478,-0.003683,0.001260
2016-05-16,454.162994,2066.659912,99.776031,1273.400024,-0.003307,0.009797,0.012512,0.001179
2016-05-17,453.782990,2047.209961,98.524353,1276.199951,-0.000837,-0.009411,-0.012545,0.002199
2016-05-18,454.618988,2047.630005,98.879295,1273.699951,0.001842,0.000205,0.003603,-0.001959
2016-05-19,438.714996,2040.040039,98.365555,1254.199951,-0.034983,-0.003707,-0.005196,-0.015310
2016-05-20,442.675995,2052.320068,99.449059,1252.400024,0.009029,0.006020,0.011015,-0.001435
2016-05-23,444.154999,2048.040039,99.318291,1251.099976,0.003341,-0.002085,-0.001315,-0.001038
2016-05-24,445.980988,2076.060059,101.307816,1228.900024,0.004111,0.013681,0.020032,-0.017744
2016-05-25,449.598999,2090.540039,102.036438,1223.500000,0.008112,0.006975,0.007192,-0.004394
2016-05-26,453.384003,2090.100098,102.335297,1220.099976,0.008419,-0.000210,0.002929,-0.002779
2016-05-27,473.463989,2099.060059,102.867737,1213.800049,0.044289,0.004287,0.005203,-0.005163
2016-05-31,531.385986,2096.949951,103.063873,1214.800049,0.122337,-0.001005,0.001907,0.000824
2016-06-01,536.919983,2099.330078,103.073212,1211.900024,0.010414,0.001135,0.000091,-0.002387
2016-06-02,537.971985,2105.260010,103.288040,1209.800049,0.001959,0.002825,0.002084,-0.001733
2016-06-03,569.193970,2099.129883,102.802322,1240.099976,0.058036,-0.002912,-0.004703,0.025045
2016-06-06,585.536987,2109.409912,103.175949,1244.599976,0.028713,0.004897,0.003634,0.003629
2016-06-07,576.596985,2112.129883,102.914436,1244.400024,-0.015268,0.001289,-0.002535,-0.000161
2016-06-08,581.645020,2119.120117,103.091904,1259.800049,0.008755,0.003310,0.001724,0.012375
2016-06-09,574.630005,2115.479980,102.923759,1270.199951,-0.012061,-0.001718,-0.001631,0.008255
2016-06-10,577.469971,2096.070068,101.756187,1273.400024,0.004942,-0.009175,-0.011344,0.002519
2016-06-13,704.375977,2079.060059,100.906189,1284.400024,0.219762,-0.008115,-0.008353,0.008638
2016-06-14,685.559021,2075.320068,100.906189,1285.599976,-0.026714,-0.001799,0.000000,0.000934
2016-06-15,694.468994,2071.500000,100.616623,1285.800049,0.012997,-0.001841,-0.002870,0.000156
2016-06-16,766.307983,2077.989990,100.915558,1296.099976,0.103444,0.003133,0.002971,0.008011
